harbor_seal,reference,ca_sea_lion,northern_elephant_seal,reference_gene_symbol,is_mt
NP_006928.1,NP_008471.1,YP_778695.1,YP_778773.1,ND1,True
NP_006929.1,NP_008472.4,YP_778696.1,YP_778774.1,ND2,True
NP_006930.1,NP_008473.4,YP_778697.1,YP_778775.1,COX1,True
NP_006931.1,NP_008474.4,YP_778698.1,YP_778776.1,COX2,True
NP_006932.1,NP_008475.1,YP_778699.1,YP_778777.1,ATP8,True
NP_006933.1,NP_008476.1,YP_778700.1,YP_778778.1,ATP6,True
NP_006934.1,NP_008477.4,YP_778701.1,YP_778779.1,COX3,True
NP_006935.1,NP_008478.4,YP_778702.1,YP_778780.1,ND3,True
NP_006936.1,NP_008479.1,YP_778703.1,YP_778781.1,ND4L,True
NP_006937.1,NP_008480.1,YP_778704.1,YP_778782.1,ND4,True
NP_006938.1,NP_008481.4,YP_778705.1,YP_778783.1,ND5,True
NP_006939.1,NP_008482.4,YP_778706.1,YP_778784.1,ND6,True
NP_006940.1,NP_008483.1,YP_778707.1,YP_778785.1,CYTB,True
XP_032243351.1,XP_013975033.1,XP_027452569.1,XP_045753999.1,MTF1,False
XP_032243352.1,XP_038315874.1,XP_027451323.2,XP_045729624.2,DENND5B,False
XP_032243356.1,NP_001184240.1,XP_027451528.1,XP_045729679.1,MED21,False
XP_032243357.1,XP_534847.3,XP_027451143.1,XP_064447502.1,SINHCAF,False
XP_032243360.1,XP_013964190.1,XP_027448331.1,XP_064446353.1,C27H12orf40,False
XP_032243361.1,XP_022266860.1,XP_027450370.1,XP_045724552.1,SMCO2,False
XP_032243362.1,XP_534841.2,XP_027450631.1,XP_064447470.1,CPNE8,False
XP_032243369.1,XP_038307729.1,XP_027452585.1,XP_045754000.1,MANEAL,False
XP_032243372.1,XP_013964012.1,XP_027447882.2,XP_045729710.1,C2CD5,False
XP_032243375.1,XP_013964015.1,XP_027447887.2,XP_045729713.1,C2CD5,False
XP_032243385.1,NP_001184241.1,XP_027448306.1,XP_045729666.1,PPFIBP1,False
XP_032243388.1,XP_003433607.1,XP_027451106.1,XP_045729669.1,REP15,False
XP_032243389.1,XP_022266864.1,XP_027448312.2,XP_045725487.1,C27H12orf71,False
XP_032243390.1,XP_003639549.2,XP_027452630.1,XP_045754002.1,YRDC,False
XP_032243391.1,XP_543086.2,XP_027478250.1,XP_045739860.1,GATA5,False
XP_032243393.1,XP_543055.2,XP_027478709.1,XP_045739844.1,SALL4,False
XP_032243394.1,XP_022264953.1,XP_035580636.1,XP_045739845.1,SALL4,False
XP_032243395.1,XP_854578.4,XP_027479183.1,XP_045742235.1,LOC611771,False
XP_032243400.1,XP_022264888.1,XP_027477982.1,XP_064429414.1,ADNP,False
XP_032243401.1,XP_022283524.1,XP_027452649.1,XP_045754005.1,C15H1orf122,False
XP_032243402.1,XP_543052.2,XP_027477983.1,XP_045739842.1,MOCS3,False
XP_032243403.1,XP_867215.2,XP_027477984.1,XP_045741925.1,DPM1,False
XP_032243404.1,XP_005635227.1,XP_027479861.1,XP_045741913.1,CEBPB,False
XP_032243406.1,XP_534448.1,XP_027476999.1,XP_045741872.1,ARFGEF2,False
XP_032243407.1,XP_534455.3,XP_027477016.1,XP_045741915.1,PTPN1,False
XP_032243411.1,XP_038307957.1,XP_027469180.1,XP_045751408.1,EPHA10,False
XP_032243412.1,XP_005635222.1,XP_027480113.1,XP_045741900.1,SLC9A8,False
XP_032243415.1,XP_038313550.1,XP_027478934.2,XP_064429507.1,DIDO1,False
XP_032243419.1,XP_545179.2,XP_027478936.1,XP_064429525.1,GID8,False
